YEAR,EQ_PRIMARY,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,La,Lo
1980,6.2,JAPAN,JAPAN:  HONSHU:  S COAST,34.808,139.181,90,180
1980,7.5,SOLOMON ISLANDS,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS:  BANKS,-12.41,166.381,0,180
1980,6.4,GREECE,GREECE:  AEGEAN SEA:  MAGNESIA,39.269,23.041,90,90
1980,5.2,TAJIKISTAN,"TAJIKISTAN:  SHURAB, NEFTEABAD",40.113,70.596,90,90
1980,4,GREECE,GREECE:  VOLOS,39.203,22.729,90,90
1980,7.9,SOLOMON ISLANDS,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS; VANUATU,-12.525,165.916,0,180
1980,5.4,IRAN,"IRAN:  LAHIJAN, RASHT",37.19,50.201,90,90
1980,5.1,USA,KENTUCKY:  MAYSVILLE,38.174,-83.907,90,0
1980,6.5,NEPAL,NEPAL-INDIA:   PITHORAGARH,29.598,81.092,90,90
1980,6.4,HONDURAS,HONDURAS;  N GUATEMALA:  IZABEL PROVINCE,15.888,-88.516,90,0
1980,5.6,ECUADOR,"ECUADOR:  W, GUAYAQUIL",-1.948,-80.017,0,0
1980,4.9,INDIA,INDIA:  KASHMIR,32.913,75.633,90,90
1980,4.8,INDIA,INDIA:  KASHMIR,32.834,75.629,90,90
1980,6,JAPAN,"JAPAN:  TOKYO, YOKOHAMA",35.45,139.964,90,180
1980,5.6,NEW ZEALAND,"NEW ZEALAND:  GISBORNE, HAWERA, EASTBOURNE, NAPIER",-39.542,176.478,0,180
1980,7.7,ALGERIA,ALGERIA:  NORTHERN,36.195,1.354,90,90
1980,6.4,MEXICO,"MEXICO:  S, HUAJAPAN DE LEON, OAXACA",18.211,-98.24,90,-90
1980,7.2,USA,CALIFORNIA:  NORTH COAST,41.117,-124.253,90,-90
1980,4.9,PERU,PERU:  S CENTRAL,-13.347,-74.545,0,0
1980,6.9,ITALY,"ITALY:   AVELLINO, POTENZA, CASERTA, NAPLES",40.914,15.366,90,90
1980,5,COLOMBIA,VENEZUELA:  E,8.045,-72.441,90,0
1980,5.8,IRAN,"IRAN:  N CENTRAL, TEHRAN",34.587,50.652,90,90
1980,5.2,IRAN,"IRAN:  N CENTRAL, TEHRAN",34.503,50.59,90,90
1981,6.9,JAPAN,JAPAN:  E. HONSHU ISLAND,38.64,142.75,90,180
1981,6.7,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA: JAYAWIJAYA MTS,-4.576,139.232,0,180
1981,6.8,CHINA,CHINA:SICHUAN PROVINCE,30.927,101.098,90,180
1981,4.6,ITALY,ITALY:  S,41.051,14.601,90,90
1981,6.7,GREECE,GREECE:  ATHENS-EASTERN GULF OF CORINTH,38.222,22.934,90,90
1981,6.4,GREECE,GREECE:  ATHENS-CORINTH-KHALIS,38.209,23.288,90,90
1981,5.6,GREECE,GREECE:  PREVEZA,39.481,20.699,90,90
1981,4.8,PERU,PERU:  AYACUCHO,-13.144,-74.376,0,0
1981,6,USA,"CALIFORNIA:  WESTMORLAND,CALIPATRIA",33.133,-115.65,90,-90
1981,7.6,NEW ZEALAND,NEW ZEALAND:  W OF NORTH ISLAND,-48.786,164.357,0,180
1981,6.7,IRAN,IRAN:  SE:  GOLBAFT,29.913,57.715,90,90
1981,5.2,PERU,PERU:  CENTRAL,-13.166,-74.522,0,0
1981,7.1,IRAN,"IRAN:  SE, KERMAN",30.013,57.794,90,90
1981,5.5,BOSNIA-HERZEGOVINA,BALKANS NW:  BOSNIA-HERZEGOVINA:  BANJA LUKA,44.849,17.312,90,90
